"USER_ID","USER_NAME","PASSWORD","MONEY","UPDATE_TIME"
"aaa","aa","123",1000,23-05-26 11:36:32.358000000
"123","123","123456",2080,23-05-26 12:06:23.972000000
"taro","taro
","12345678",10000,23-04-26 15:22:24.123000000
"taro123","taro","123456",28300,23-06-02 00:47:03.800000000
"user1234","abc","123456",1400,23-06-09 15:07:50.758000000
"ppp","ppp","123456",0,23-06-06 05:40:44.487000000
"user123456","abc","123456",10097299,23-06-09 16:08:20.276000000
"aa123","aa","123456",19400,23-06-01 15:18:36.318000000
"456","45678","123456",2670,23-06-01 23:05:27.781000000
"user888","wong","123456",7050,23-06-09 10:56:17.601000000
"user999","abc","123456",2100,23-06-09 15:27:29.771000000
"wong","anson","123456789",1000,23-05-24 22:45:19.067000000
"abc","aaa","222",1000,23-05-26 11:19:56.777000000
"123445","1234","123456",0,23-08-31 11:50:36.946000000
"test","test","1234",0,23-05-26 12:10:52.006000000
"1234","123","123",0,23-05-26 17:41:42.225000000
